Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
AIRLINE AUTO TRADERS,AIRLINE,INFO@AIRLINE.COM,777597450,"52, ARMOUR STREET, COLOMBO 12",COLOMBO 12,WP,01200,,,,,,,,
BEARINGS & SPARES (PVT) LTD,PRIYANTHA DILUKA,BSMOUNT@SLTNET.LK,112722926,"105, GALLE RD, MOUNT LAVINIA",MOUNT LAVINIA,WP,10350,,,,,,,,
BEARINGS & SPARES (PVT) LTD,PAVANI THARUSHIKA,MT.SALES@BEARINGSLK.COM,777382269,"105, GALLE RD, MOUNT LAVINIA",MOUNT LAVINIA,WP,10350,,,,,,,,
BEARINGS & TECHNOLOGIES,OPENING STOCK,INFO@BEARINGTEC.COM,112620476,"07, HONNANTARA, KESBEWA, PILIYANDALA",PILIYANDALA,WP,10300,,,,,,,,
CONSOLIDATED BEARINGS,BALACHANDRAN,BSCOL@SLTNET.LK,112448165,"263, K CYRIL C. PERERA MW, COLOMBO 13",COLOMBO 13,WP,01300,,,,,,,,
DEE & DEE LANKA,MUWAZ,INFO@DNDLANKA.COM,773513157,"247, SRI SANGARAJA MW, COLOMBO 10",COLOMBO 10,WP,01000,,,,,,,,
DOUGLAS & SONS (PVT) LTD,PRADEEP,DSL@DOUGLAS.LK,115608444,"221, PANCHIKAWATTA RD, COLOMBO 10",COLOMBO 10,WP,01000,,,,,,,,
DP ENTERPRISES,UPUL,DPENTERPRISESU@GMAIL.COM,112295662,"551/123, KURUNEGALA RD, PANNALA",PANNALA,NW,60160,,,,,,,,
SADA SARANA BEARINGS (PVT) LTD,SAMPATH,INFO@SADASARANA.COM,112396058,"399-1/3, SRI SANGARAJA MW, COLOMBO 12",COLOMBO 12,WP,01200,,,,,,,,
ANTHUPITHA MOTORS,NUWAN,INFO@ANTHUPITHA.COM,115350018,"206, PANCHIKAWATTA, COLOMBO 10",COLOMBO 10,WP,01000,,,,,,,,
KRISHANTHA MOTORS,KRISHANTHA,INFO@KRISHANTHA.COM,753233232,"447, AWISSAWELLA RD, WELLAMPITIYA",WELLAMPITIYA,WP,10600,,,,,,,,
ARALIYA MOTORS SPARES,ARALIYA UNCLE,INFO@ARALIYA.COM,773595565,"138/1, ARALIYA MW, WELIVITA, KADUWELA",KADUWELA,WP,10640,,,,,,,,
LALITH MOTORS,LALITH,LALITHMOTORS@YAHOO.COM,112344209,"231/10/D, PANCHIKAWATTA RD, COLOMBO 10",COLOMBO 10,WP,01000,,,,,,,,
CENTRAL MOTORS,CENTRAL,CENTRALMOTOR@SLTNET.LK,112435663,"419, SRI SANGARAJA MW, COLOMBO 10",COLOMBO 10,WP,01000,,,,,,,,
NAMAL MOTOR STORES,NAMAL,NAMALMOTORS@GMAIL.COM,716802149,"196/10, GIG BUILDING, PANCHIKAWATTA RD, COLOMBO 10",COLOMBO 10,WP,01000,,,,,,,,
L & D TRADING & INVESTMENT LANKA (PVT) LTD,DABARE,DABARE123@GMAIL.COM,777512067,"603/1, BOGAHA JUNCTION, NINDAHENA, GOTHATUWA",GOTHATUWA,WP,10600,,,,,,,,
CENTRAL BEARINGS & MACHINERY (PVT) LTD,THILAK,INFO@CENTRALBEARING.COM,773476448,"133, PANCHIKAWATTA RD, COLOMBO 10",COLOMBO 10,WP,01000,,,,,,,,
DJ MOTOR TRADERS,DJMT,INFO@DJMOTOR.COM,112344080,"231/5C, PANCHIKAWATTA RD, COLOMBO 10",COLOMBO 10,WP,01000,,,,,,,,
LIBERTY MOTOR ASSOCIATES (PVT) LTD,NADEESHANI,INFO@LIBERTYMOTORS.LK,112321384,"488, SRI SANGARAJA MW, COLOMBO 10",COLOMBO 10,WP,01000,,,,,,,,
FIRST CITY TRADERS & AGENCIES,MURUGADASAN,ACCOUNTS@FCTSL.COM,114718858,"4/12, 4TH FLOOR, LIBERTY PLAZA, R A DE MEL MW, COLOMBO 03",COLOMBO 03,WP,00300,,,,,,,,
GLOBAL TRADE COMBINE (PVT) LTD,SENETH,INFO@GTC.COM,114366333,"175, PILIYANDALA RD, GODIGAMUWA, MAHARAGAMA",MAHARAGAMA,WP,10280,,,,,,,,
