Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
AD OIL MART,,sales1@gmail.com,771567177,MORATUWA,MORATUWA,WP,,SRI LANKA,,,,,,,
BAJAJ MOTOR HOUSE,,sales2@gmail.com,778666159,MATTAKKULIYA,COLOMBO 12,WP,,SRI LANKA,,,,,,,
BUDDIKA MOTORS,,sales3@gmail.com,776042000,"257.B1.STANLEY,NUEGODA",NUGEGODA,WP,,SRI LANKA,,,,,,,
CASH SALE,,sales4@gmail.com,,COUNTER,KESBEWA,WP,,SRI LANKA,,,,,,,
CHAMINDA MOTORS,,sales5@gmail.com,777659620,"RATNAPURA RD, EHELIYAGODA",EHELIYAGODA,SP,,SRI LANKA,,,,,,,
D & P MOTORS,,sales6@gmail.com,750224554,"ANGODA, RAJAGIRIYA",RAJAGIRIYA,WP,,SRI LANKA,,,,,,,
DIMUTH MOTORS,,sales7@gmail.com,722764104,"MAHARAGAMA RD, BORELESGAMUWA",BORALESGAMUWA,WP,,SRI LANKA,,,,,,,
DP PACKAGING (PVT) LTD,,sales8@gmail.com,718468562,"57, KATUWANA INDUSTRIAL ESTATE, HOMAGAMA",HOMAGAMA,WP,,SRI LANKA,,,,,,,
EMO ENTERPRISES,,sales9@gmail.com,772572845,"NO. 282, KAHENA, WAGA.",WAGA,WP,,SRI LANKA,,,,,,,
GENUINE MOTORS,,sales10@gmail.com,769218600,"HOSPITAL RD,KALUBOWILA, DEHIWALA",DEHIWALA,WP,,SRI LANKA,,,,,,,
I D MOTORS,,sales11@gmail.com,777437040,"BALAPOKUNA RD, KIRULAPONE",KIRULAPONE,WP,,SRI LANKA,,,,,,,
JAYATHILAKA TRADE,,sales12@gmail.com,774334678,"KANDAKETIAYA, KIRIWATHUDUWA",KIRIWATHUDUWA,WP,,SRI LANKA,,,,,,,
K & K MOTORS,,sales13@gmail.com,777988827,"NO. 07, FROZER AVENUE, MORATUWA",MORATUWA,WP,,SRI LANKA,,,,,,,
KAMAL ELECTRICAL,,sales14@gmail.com,777945640,"AWISSAWELLA RD, PANNIPITIYA",PANNIPITIYA,WP,,SRI LANKA,,,,,,,
KUMARA MOTORS,,sales15@gmail.com,711428618,"WELLAMPITIYA RD, KOLONNAWA",KOLONNAWA,WP,,SRI LANKA,,,,,,,
KUMUDU AUTO TECH,,sales16@gmail.com,773185139,"DIYAGAMA RD, HOMAGAMA",HOMAGAMA,WP,,SRI LANKA,,,,,,,
MDK FOOD PRODUCTS LTD,,sales17@gmail.com,712284607,"INDUSTRIAL ZONE, HORANA",HORANA,WP,,SRI LANKA,,,,,,,
METHUN MOTORS,,sales18@gmail.com,787948988,"4/1, WIHARA MW, BELLANWILA, BORALESGAMUWA",BORALESGAMUWA,WP,,SRI LANKA,,,,,,,
NAVEEN MOTORS,,sales19@gmail.com,721815497,"SRI SUBUTHI RD, WELLAWATTA",WELLAWATTA,WP,,SRI LANKA,,,,,,,
NEW JAYANTHA MOTORS,,sales20@gmail.com,777974986,"296/2D, HIGH LEVEL RD, PANNIPITIYA",PANNIPITIYA,WP,,SRI LANKA,,,,,,,
