Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
DINESH MOTORS,Mr.dinesh,,773309427,"NO:438,PANADURA ROAD,HORANA.",Horana,,,Sri Lanka,,,,,,,
ASALY MOTORS,mis.Asalya,,776705777,"1537/2,KATUKURUNDA,KOTTAWA,PANNIPITIYA.",Pannipitiya,,,Sri Lanka,,,,,,,
D&D MOTORS,Mr.Pavithra,,718373967,"5 LANE,BORALASGAMUWA.",Boralasgamuwa,,,Sri Lanka,,,,,,,
M.K MOTORS,,,773309427,"#777/2,HIGH LEVEL ROAD,PANAGODA.",Panagoda,,,Sri Lanka,,,,,,,
LAHIRU MOTORS,Mr.Lahiru,,722794273,"BATUWITA,GONAPALA,JANCTION.",Janction,,,Sri Lanka,,,,,,,
AJITH MOTORS,Mr.Ajith,,777955317,"#454,COLOMBO ROAD,PADUKKA",Padukka,,,Sri Lanka,,,,,,,
NIMASHI MOTORS,Mis.nimashi,,777499708,"NO:571/1/1/A,SUMANATHISSA MAWATHA,NAWAGAMUWA,KADUWELA.",Kaduwela,,,Sri Lanka,,,,,,,
NEW KAVINDA MOTORS,Mr.Kavinda,,772941215,"NO:38,HORANA ROAD,ELUWILA,PANADURA",Panadura,,,Sri Lanka,,,,,,,
SHANS MOTORS,Mr.Shans,,778557771,"NO:92,HORANA ROAD,ELUWILA,PANADURA",Panadura,,,Sri Lanka,,,,,,,
NETHSARA  MOTORS,Mr.Nethsara,,777372446,"NO:06,SCHOOL JUNCTION,HADAPANGODA",Hadapangoda,,,Sri Lanka,,,,,,,
SADARUWAN MOTORS,Mr.Sadaruwan,,774523097,"464/A2,MAHARAGAMA ROAD,MORAGAHAHENA",Moragahahena,,,Sri Lanka,,,,,,,
ANANDA ENGINEERING,Mr.Ananda,,771177483,"NO:448 LAKE ROAD,BORALASGAMUWA",Boralasgamuwa,,,Sri Lanka,,,,,,,
SHEIRU MOTORS,Mr.Sheiru,,779462647,"NO:209,.KASBAWA ROAD,BORALASGAMUWA",Boralasgamuwa,,,Sri Lanka,,,,,,,
Y.T MOTORS,,,760855895,"157/1,HORANA ROAD,PANADURA",Panadura,,,Sri Lanka,,,,,,,
VIGAR MOTORS,,,777963910,"KASBAWA ROAD,BOLABOTUWA,BANDARAGAMA",Bandaragama,,,Sri Lanka,,,,,,,
CS MOTORS,,,773.662682,"10/4, MATTEGODA ROAD,MATTEGODA",Mattegoda,,,Sri Lanka,,,,,,,
"SAJANA,MOTORS",Mis.Sajana,,771973881,"#21,KULUPANA,HORANA",Horana,,,Sri Lanka,,,,,,,
DINIDU MOTORS,Mr.Dinidu,,770497677,"DIDDENIYA ROAD,HANWALLA",Hanwalla,,,Sri Lanka,,,,,,,
NADEEP MOTORS,Mr.Nadeep,,753814450,"190/1,KASBAWA ROAD,BORALASGAMUWA.",Boralasgamuwa,,,Sri Lanka,,,,,,,
N.K MOTORS,,,777134733,"1B,POLHENA,MADAPATHA,PILIYANDALA",Piliyandala,,,Sri Lanka,,,,,,,
WASANTHA MOTORS,Mr.Wasantha,,713021580,"81,BATAKATHARA,PILIYANANDALA",Piliyanandala,,,Sri Lanka,,,,,,,
NAWAGAMUWA BAJAJ CEN,,,773774691,"817/2,NAWAGAMUWA,RANALA",Ranala,,,Sri Lanka,,,,,,,
MACRO MOTORS,,,777066777,"3/3,AVISSAWELA ROAD,NAWAGAMUWA,RANALA",Ranala,,,Sri Lanka,,,,,,,
LUMALA MOTORS,,,,"KORATHOTA,KADUWELA",Kaduwela,,,Sri Lanka,,,,,,,
U&K MOTORS,,,775495033,"667/65A,KORATHOTA,KADUWELA",Kaduwela,,,Sri Lanka,,,,,,,
DANUL MOTORS,Mr.Danul,,726074327,"158A,HORANA ROAD,PILIYANDALA",Piliyandala,,,Sri Lanka,,,,,,,
GAYAN MOTORS,Mr.Gayan,,773182942,"196/A,BIYAGAMA ROAD,PATTIYA,PALIYAGODA",Paliyagoda,,,Sri Lanka,,,,,,,
NISHANTHA MOTORS,Mr.Nishantha,,712515772,"402/A,BIYGAMA ROAD,PETTHIYAGODA,KALANIYA",Kalaniya,,,Sri Lanka,,,,,,,
DILNESHI MOTORS,Mis.DILNESHI,,718499899,"GALLE ROAD,WADDUWA",Wadduwa,,,Sri Lanka,,,,,,,
HIRAN MOTORS,Mr.Hiran,,716260580,"40/56,HORANA ROAD,POLGASOWITA",Polgasowita,,,Sri Lanka,,,,,,,
haleena motors,Mis.Haleena,,779783583,"bokundara,piliyandala",Piliyandala,,,Sri Lanka,,,,,,,
SHAN MOTORS,Mr.Shan,,776400109,"MALABE ROAD,HOKANDARA",Hokandara,,,Sri Lanka,,,,,,,
KALPA MOTORS,Mr.kalpa,,777066541,"62/7,BATAKATHARA,MADAPATHA,PILIYANDALA",Piliyandala,,,Sri Lanka,,,,,,,
LAKSHMI MOTORS,Mis.Lakshmi,,,"12C,BODIRUKKARAMA ROAD,KALUBOWILA",Kalubowila,,,Sri Lanka,,,,,,,
