Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
NTN - DEEP GROVE BALL BEARING,6001ZZ/C3,code128,NTN,BEARING,PC,PC,dozen,580,870,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6003ZZ,code128,NTN,BEARING,PC,PC,dozen,665,998,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6005LLU,code128,NTN,BEARING,PC,PC,dozen,550,825,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6005LLU/C3,code128,NTN,BEARING,PC,PC,dozen,550,825,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6200ZZ,code128,NTN,BEARING,PC,PC,dozen,560,840,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6200LLB,code128,NTN,BEARING,PC,PC,dozen,580,870,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6201ZZ,code128,NTN,BEARING,PC,PC,dozen,590,885,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6201LLU,code128,NTN,BEARING,PC,PC,dozen,550,825,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6201CM,code128,NTN,BEARING,PC,PC,dozen,550,825,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6203ZZ,code128,NTN,BEARING,PC,PC,dozen,620,930,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6203ZZ/C3,code128,NTN,BEARING,PC,PC,dozen,620,930,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6203CM,code128,NTN,BEARING,PC,PC,dozen,590,885,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
