Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
NTN - BEARING,30208,code128,NTN,BEARING,PC,PC,PC,3060,4590,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - BEARING,30210,code128,NTN,BEARING,PC,PC,PC,5200,7800,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6001LLU*,code128,NTN,BEARING,PC,PC,PC,375,560,20,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6003CM*,code128,NTN,BEARING,PC,PC,PC,485,730,20,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NIS - DEEP GROVE BALL BEARING,6004-2RS,code128,NIS,BEARING,PC,PC,PC,250,375,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6004CM*,code128,NTN,BEARING,PC,PC,PC,670,1005,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NIS - DEEP GROVE BALL BEARING,6201-2RS,code128,NIS,BEARING,PC,PC,PC,185,280,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NIS - DEEP GROVE BALL BEARING,6201-2RS,code128,NIS,BEARING,PC,PC,PC,180,270,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6203CM*,code128,NTN,BEARING,PC,PC,PC,600,900,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6205LLU,code128,NTN,BEARING,PC,PC,PC,1364.25,2045,10,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6206CM,code128,NTN,BEARING,PC,PC,PC,1692.35,2540,10,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,63/22CM*,code128,NTN,BEARING,PC,PC,PC,1150,1725,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,63/22ZZ,code128,NTN,BEARING,PC,PC,PC,2160,3240,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NIS - DEEP GROVE BALL BEARING,6301-2RS,code128,NIS,BEARING,PC,PC,PC,190,285,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6301LLU*,code128,NTN,BEARING,PC,PC,PC,625,935,4,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6304CM,code128,NTN,BEARING,PC,PC,PC,1300,1950,10,No Tax,Exclusive,no_image.png,DGBB,,,,,,,
