"Product Code","Product Name",Variant,Expected,Counted
2206,"KOYO - BEARING",,2.0000,
2210S/C3,"NTN - SELF ALIGNING BEARING",,2.0000,
30208,"NTN - BEARING",,1.0000,
30210,"NTN - BEARING",,1.0000,
4206/C3,"NSK - BEARING",,4.0000,
6001CM*,"NTN - DEEP GROVE BALL BEARING",,10.0000,
6001LLU*,"NTN - DEEP GROVE BALL BEARING",,15.0000,
6002LLU,"NTN - DEEP GROVE BALL BEARING",,10.0000,
6002LLU*,"NTN - DEEP GROVE BALL BEARING",,20.0000,
6003CM,"NTN - DEEP GROVE BALL BEARING",,6.0000,
6003CM*,"NTN - DEEP GROVE BALL BEARING",,20.0000,
6003LLU,"NTN - DEEP GROVE BALL BEARING",,10.0000,
6003ZZ,"NTN - DEEP GROVE BALL BEARING",,30.0000,
6004-2RS,"NIS - DEEP GROVE BALL BEARING",,20.0000,
6004CM*,"NTN - DEEP GROVE BALL BEARING",,10.0000,
6004ZZ*,"KSM - DEEP GROVE BALL BEARING",,40.0000,
6005ZZ,"NTN - DEEP GROOVE BALL BEARING",,10.0000,
6007LLU,"NTN - DEEP GROVE BALL BEARING",,28.0000,
6007ZZ,"NTN - DEEP GROVE BALL BEARING",,11.0000,
6007ZZC3,"NTN - DEEP GROVE BALL BEARING",,5.0000,
6201-2RS,"NIS - DEEP GROVE BALL BEARING",,40.0000,
6201ZZ,"NTN - DEEP GROVE BALL BEARING",,45.0000,
6202LLU*,"NTN - DEEP GROVE BALL BEARING",,10.0000,
6203CM*,"NTN - DEEP GROVE BALL BEARING",,20.0000,
6203LLU*,"NTN - DEEP GROVE BALL BEARING",,3.0000,
6203ZZ,"NTN - DEEP GROVE BALL BEARING",,42.0000,
6204CM,"NTN - DEEP GROVE BALL BEARING",,30.0000,
6204LLU*,"NTN - DEEP GROVE BALL BEARING",,4.0000,
6204ZZ*,"NTN - DEEP GROVE BALL BEARING",,5.0000,
6205CM,"NTN - DEEP GROVE BALL BEARING",,-10.0000,
6205CM*,"NTN - DEEP GROVE BALL BEARING",,25.0000,
6205LLU,"NTN - DEEP GROVE BALL BEARING",,1.0000,
6205LLU*,"NTN - DEEP GROVE BALL BEARING",,10.0000,
6205ZZ,"NTN - DEEP GROVE BALL BEARING",,78.0000,
6206CM,"NTN - DEEP GROVE BALL BEARING",,5.0000,
6207ZZ,"NTN - DEEP GROVE BALL BEARING",,6.0000,
63/22CM*,"NTN - DEEP GROVE BALL BEARING",,20.0000,
63/22ZZ,"NTN - DEEP GROVE BALL BEARING",,10.0000,
6300ZZ,"NTN - DEEP GROVE BALL BEARING",,10.0000,
6301-2RS,"NBWZ - DEEP GROVE BALL BEARING",,20.0000,
6301CM,"NTN - D G B BALL BEARING",,20.0000,
6301CM*,"NTN - DEEP GROVE BALL BEARING",,35.0000,
6301LLU,"NTN - DEEP GROVE BALL BEARING",,10.0000,
6301LLU*,"NTN - DEEP GROVE BALL BEARING",,40.0000,
6301ZZ,"NTN - DEEP GROVE BALL BEARING",,23.0000,
6302LLU*,"NTN - DEEP GROVE BALL BEARING",,24.0000,
6304CM,"NTN - DEEP GROVE BALL BEARING",,36.0000,
6304LLU,"NTN - DEEP GROVE BALL BEARING",,4.0000,
6304ZZ,"NTN - DEEP GROVE BALL BEARING",,27.0000,
6305CM,"NTN - DEEP GROVE BALL BEARING",,10.0000,
6305LLU,"NTN - DEEP GROVE BALL BEARING",,15.0000,
6308LLU,"NTN - DEEP GROVE BALL BEARING",,8.0000,
6310ZZ,"NTN - DEEP GROVE BALL BEARING",,1.0000,
6312ZZ,"NTN - DEEP GROVE BALL BEARING",,2.0000,
6902CM*,"NTN - DEEP GROVE BALL BEARING",,6.0000,
6902LLU,"NTN - DEEP GROVE BALL BEARING",,5.0000,
807045/12,"NTN - BEARING",,2.0000,
"A 066","MITSUBOSHI - V BELT",,6.0000,
"B 110","MITSUBOSHI - V BELT",,20.0000,
BB25-2K,"TSUBAKI - BEARING",,2.0000,
ER204,"FYH - PILLOW BLOCK BEARING",,2.0000,
HK10/15D,"NTN - NEEDLE ROLLER BEARING",,2.0000,
HK15/12D*,"NTN - NEEDLE ROLLER BEARING",,6.0000,
HK15/16D*,"NTN - NEEDLE ROLLER BEARING",,12.0000,
HK22/16D*,"NTN - NEEDLE ROLLER BEARING",,9.0000,
"M 080","MITSUBOSHI - V BELT",,5.0000,
NAG4907,"IKO - BEARING",,3.0000,
NJ2206W/C3,"NSK - BEARING",,2.0000,
NK2516,"NTN - NEEDLE ROLLER BEARING",,4.0000,
SCO563,"NTN - DEEP GROVE BALL BEARING",,5.0000,
UCF205,"NTN - PILLOW BLOCK BEARING",,2.0000,
UCF206,"FBJ - PILLOW BLOCK BEARING",,1.0000,
UCF211-200*,"NTN - PILLOW BLOCK BEARING",,3.0000,
