"Product Code","Product Name",Variant,Expected,Counted
2206,"KOYO - BEARING",,2.0000,
2210S/C3,"NTN - SELF ALIGNING BEARING",,2.0000,
4206/C3,"NSK - BEARING",,4.0000,
6002LLU,"NTN - DEEP GROVE BALL BEARING",,10.0000,
6002ZZ,"NTN - DEEP GROVE BALL BEARING",,15.0000,
6003CM,"NTN - DEEP GROVE BALL BEARING",,6.0000,
6003LLU,"NTN - DEEP GROVE BALL BEARING",,10.0000,
6003ZZ,"NTN - DEEP GROVE BALL BEARING",,20.0000,
6004ZZ*,"KSM - DEEP GROVE BALL BEARING",,20.0000,
6007LLU,"NTN - DEEP GROVE BALL BEARING",,3.0000,
6007ZZ,"NTN - DEEP GROVE BALL BEARING",,6.0000,
6201ZZ,"NTN - DEEP GROVE BALL BEARING",,45.0000,
6203ZZ,"NTN - DEEP GROVE BALL BEARING",,40.0000,
6204CM,"NTN - DEEP GROVE BALL BEARING",,30.0000,
6205CM,"NTN - DEEP GROVE BALL BEARING",,-10.0000,
6205ZZ,"NTN - DEEP GROVE BALL BEARING",,73.0000,
6207ZZ,"NTN - DEEP GROVE BALL BEARING",,1.0000,
6301CM,"NTN - D G B BALL BEARING",,20.0000,
6301LLU,"NTN - DEEP GROVE BALL BEARING",,10.0000,
6301ZZ,"NTN - DEEP GROVE BALL BEARING",,23.0000,
6304ZZ,"NTN - DEEP GROVE BALL BEARING",,27.0000,
6305LLU,"NTN - DEEP GROVE BALL BEARING",,15.0000,
6310ZZ,"NTN - DEEP GROVE BALL BEARING",,1.0000,
NAG4907,"IKO - BEARING",,3.0000,
NJ2206W/C3,"NSK - BEARING",,2.0000,
SCO563,"NTN - DEEP GROVE BALL BEARING",,2.0000,
