Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
NTN - DEEP GROVE BALL BEARING,6000LLU,code128,NTN,BEARING,PC,PC,dozen,620,899,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6001LLU,code128,NTN,BEARING,PC,PC,dozen,435,630,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6002ZZ,code128,NTN,BEARING,PC,PC,dozen,660,957,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6002LLU,code128,NTN,BEARING,PC,PC,dozen,730,1060,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6003LLU,code128,NTN,BEARING,PC,PC,dozen,750,1090,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6003CM,code128,NTN,BEARING,PC,PC,dozen,680,986,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6004CM,code128,NTN,BEARING,PC,PC,dozen,780,1131,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6004LLU,code128,NTN,BEARING,PC,PC,dozen,815,1180,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6007ZZ,code128,NTN,BEARING,PC,PC,dozen,1390,2015,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6007LLU,code128,NTN,BEARING,PC,PC,dozen,970,1400,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6200LLU,code128,NTN,BEARING,PC,PC,dozen,575,835,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6200LLB,code128,NTN,BEARING,PC,PC,dozen,575,835,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6204CM,code128,NTN,BEARING,PC,PC,dozen,635,920,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6205ZZ,code128,NTN,BEARING,PC,PC,dozen,860,1247,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6206ZZ,code128,NTN,BEARING,PC,PC,dozen,1140,1653,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6206LLU,code128,NTN,BEARING,PC,PC,dozen,1360,1972,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6207LLU,code128,NTN,BEARING,PC,PC,dozen,1950,2830,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6207ZZ,code128,NTN,BEARING,PC,PC,dozen,1505,2180,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6301CM,code128,NTN,BEARING,PC,PC,dozen,615,890,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6301ZZ,code128,NTN,BEARING,PC,PC,dozen,800,1160,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6301LLU,code128,NTN,BEARING,PC,PC,dozen,820,1189,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6302CM,code128,NTN,BEARING,PC,PC,dozen,630,915,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6302ZZ,code128,NTN,BEARING,PC,PC,dozen,730,1060,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6303LLU,code128,NTN,BEARING,PC,PC,dozen,990,1435,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6304LLU,code128,NTN,BEARING,PC,PC,dozen,1070,1550,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6305CM,code128,NTN,BEARING,PC,PC,dozen,1175,1700,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6306ZZ,code128,NTN,BEARING,PC,PC,dozen,1820,2639,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6308ZZ,code128,NTN,BEARING,PC,PC,dozen,2950,4275,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,SCO563,code128,NTN,BEARING,PC,PC,dozen,1780,2581,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - SELF ALIGNING BEARING,2210S/C3,code128,NTN,BEARING,PC,PC,dozen,7000,10150,20,No Tax,exclusive,no_image.png,DGBB,,,,,,,
KSM - DEEP GROVE BALL BEARING,6004ZZ*,code128,KSM,BEARING,PC,PC,dozen,600,870,10,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NTN - DEEP GROVE BALL BEARING,6310ZZ,code128,NTN,BEARING,PC,PC,dozen,6750,9790,10,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NSK - BEARING,NJ2206W/C3,code128,NSK,BEARING,PC,PC,dozen,4550,6600,4,No Tax,exclusive,no_image.png,DGBB,,,,,,,
KOYO - BEARING,2206,code128,KOYO,BEARING,PC,PC,dozen,4200,6090,4,No Tax,exclusive,no_image.png,DGBB,,,,,,,
NSK - BEARING,4206/C3,code128,NSK,BEARING,PC,PC,dozen,3150,4565,4,No Tax,exclusive,no_image.png,DGBB,,,,,,,
IKO - BEARING,NAG4907,code128,IKO,BEARING,PC,PC,dozen,8500,12325,6,No Tax,exclusive,no_image.png,DGBB,,,,,,,
